PV power station,Country,State,Coordinates,"Nominal Power
(kWp)","Production
(Annual MW·h)",CF,Installed,Notes,LatitudeDMS,Latitude
BP Waterfront,South Africa,Western Cape,33°54′22″S18°25′11″E,67,101.4,0.17,2009-03-20,,33°54′22″S,-33.9061111111
HYUN,Korea,North Jeolla,35°34′00″N126°51′00″E,211.4,"292.405 (2010)
307.545 (2011)
300.831 (2012)",0.16,2009-09-15,,35°34′00″N,35.5666666667
YiWu,China,Zhejiang,29°19′00″N120°05′00″E,1295,1287,0.11,2011-03-15,,29°19′00″N,29.3166666667
Rampura Community Solar Power,India,Delhi,28°31′00″N77°04′00″E,21,17.673,0.1,2009-02-08,,28°31′00″N,28.5166666667
MNRE,India,Delhi,28°35′17″N77°14′04″E,20.16,24.739,0.14,2010-12,,28°35′17″N,28.5880555556
Speargrass Domain,New Zealand,Otago,45°02′00″S168°40′00″E,21.6,"31.536 est
29.330 (2010)
28.861 (2011)",0.15,2009-11,"won ""Best installation of 2009"" award",45°02′00″S,-45.0333333333
Silverdale Primary School,New Zealand,Auckland,36°36′22″S174°40′46″E,2.1,2.342,0.13,2007-06-22,One of 42 schools,36°36′22″S,-36.6061111111
Evatt Primary School,Australia,Australian Capital Territory,35°12′24″S149°04′33″E,9.72,13.769,0.16,2010-07-03,One of 800+ schools,35°12′24″S,-35.2066666667
Alice Springs Crowne Plaza Hotel,Australia,Northern Territory,23°42′52″S133°52′46″E,304.98,530,0.2,2009-02,links to 28 locations,23°42′52″S,-23.7144444444
Surrey Hills,Australia,Victoria,37°49′00″S145°05′00″E,2,2.21,0.13,2009-12,,37°49′00″S,-37.8166666667
Jean Canfield Building,Canada,Prince Edward,48°14′14″N63°07′47″W,108,128.566,0.14,2008-02-25,,48°14′14″N,48.2372222222
MCC Resendes,Canada,Ontario,43°25′00″N80°17′00″W,98.23,98.182,0.11,2011-05-01,C$0.713/kWh FIT,43°25′00″N,43.4166666667
Toronto,Canada,Ontario,43°39′00″N79°23′00″W,3.75,4.75,0.14,2010-11-19,,43°39′00″N,43.65
Horse Palace at Exhibition Place,Canada,Ontario,43°38′07″N79°25′00.0″W,100,86.145,0.1,2006,"""Lifetime"" tab is last 2 years",43°38′07″N,43.6352777778
Home Depot - Vaughn,Canada,Ontario,43°47′31″N79°32′46″W,24,31.9,0.15,2007,First Home Depot to have solar panels,43°47′31″N,43.7919444444
Hershey Centre,Canada,Ontario,43°37′54″N79°39′15″W,25,28.6,0.13,2007,,43°37′54″N,43.6316666667
North Bay City Hall,Canada,Ontario,46°18′32″N79°27′39″W,10,11.47,0.13,2008,,46°18′32″N,46.3088888889
Underwriters Laboratories,Canada,Ontario,43°44′43″N75°17′13″W,50,25.738,0.06,2010-09-03,$0.80/kWhr FIT,43°44′43″N,43.7452777778
Yukon Energy Solutions Centre,Canada,Yukon,60°42′55″N135°02′59″W,4.1,4.713,0.13,2009,1.9 kW wind turbine,60°42′55″N,60.7152777778
Kotzebue,USA,Alaska,66°54′00″N162°35′00″W,0.2,0.165,0.09,2009-10-08,,66°54′00″N,66.9
Nenana Teen Center,USA,Alaska,64°33′40″N149°05′11″W,4.4[4],4.79,0.12,2010-09-25,near Fairbanks,64°33′40″N,64.5611111111
Lincoln Middle School,USA,Maine,43°40′35″N70°17′44″W,4.41,5.752,0.15,2008-06-26,,43°40′35″N,43.6763888889
PSNH,USA,New Hampshire,42°59′57″N71°28′07″W,51.315,56.9,0.13,2009-07-15,,42°59′57″N,42.9991666667
CVPS,USA,Vermont,43°38′13″N72°58′29″W,50.16,62.5,0.14,2010-01-15,,43°38′13″N,43.6369444444
Dracut,USA,Massachusetts,42°41′00″N71°17′00″W,7.74,10.7,0.16,2010-08-04,,42°41′00″N,42.6833333333
All American Auto,USA,New York,40°42′18″N73°18′41″W,7,10,0.16,2010-03-13,roof mounted,40°42′18″N,40.705
Sodus,USA,New York,43°10′00″N77°05′00″W,5,8.31,0.19,2009-11-13,dual axis tracking,43°10′00″N,43.1666666667
GC Electric,USA,Pennsylvania,40°34′00″N75°26′00″W,11,12.6,0.13,2010-05-06,,40°34′00″N,40.5666666667
Service Tire Truck Center,USA,New Jersey,39°25′11″N75°01′31″W,160,198.1,0.14,2006-10-10,,39°25′11″N,39.4197222222
Dietz & Watson,USA,New Jersey,40°02′25″N74°55′54″W,1167,1425,0.14,2010-09-24,,40°02′25″N,40.0402777778
American University,USA,Washington DC,38°56′09″N77°05′18″W,27[6],33.689,0.14,2010-07,,38°56′09″N,38.9358333333
DLW,USA,Washington DC,38°58′00″N77°00′00″W,9,9.17,0.12,2011-01-08,,38°58′00″N,38.9666666667
Sheridan School,USA,Washington DC,38°56′50″N77°04′13″W,60[7],62,0.12,2010-12-30,,38°56′50″N,38.9472222222
National Cathedral School,USA,Washington DC,38°55′57″N77°04′19″W,5.76[8],7,0.14,2010-06-09,,38°55′57″N,38.9325
Breakell,USA,Virginia,37°16′37″N79°58′46″W,14.6,22.9,0.18,2009-11-03,array increased May 2011,37°16′37″N,37.2769444444
Danville Community Market,USA,Virginia,36°35′04″N79°23′02″W,35,43.4,0.14,2010-04-09,,36°35′04″N,36.5844444444
Charleston,USA,West Virginia,38°24′00″N81°37′00″W,0.28,0.32,0.13,2009-02-24,,38°24′00″N,38.4
Frankfort,USA,Kentucky,38°13′00″N84°52′00″W,5.5,7,0.15,2011-03-25,,38°13′00″N,38.2166666667
Belton,USA,Kentucky,37°10′00″N87°02′00″W,6,6.27,0.12,2010-12-29,,37°10′00″N,37.1666666667
Worthington Evening Street Schools,USA,Ohio,40°05′30″N83°01′22″W,68,80.3,0.13,2010-03-01,,40°05′30″N,40.0916666667
Newcomerstown Elementary School,USA,Ohio,40°16′07″N81°36′42″W,69,83.3,0.14,2010-09-27,,40°16′07″N,40.2686111111
Newcomerstown High School,USA,Ohio,40°15′58″N81°36′42″W,131,135.5,0.12,2010-09-27,,40°15′58″N,40.2661111111
Washington Court House,USA,Ohio,39°32′42″N83°26′56″W,249,348.8,0.16,2011-02-26,,39°32′42″N,39.545
Naperville,USA,Illinois,41°44′54″N88°11′45″W,5[10],4.5,0.1,2010-06,,41°44′54″N,41.7483333333
Engerman Contracting,USA,Wisconsin,42°32′42″N88°28′05″W,7,7,0.11,2009-09-18,on east facing roof,42°32′42″N,42.545
Delavan,USA,Wisconsin,42°38′00″N88°39′00″W,19.7,32.2,0.19,2010-08-27,,42°38′00″N,42.6333333333
D&E Management,USA,Minnesota,44°58′32″N93°15′13″W,11.4,14.5,0.15,2011-02,,44°58′32″N,44.9755555556
William A. Kerr Foundation,USA,Missouri,38°38′15″N90°10′56″W,3.48,2.39,0.08,2007-07-20,1.8 kW wind turbine,38°38′15″N,38.6375
Person County Solar Park,USA,North Carolina,36°18′48″N78°58′12″W,649,"952 (2010)
971 (2011)
904 (2012)",0.17,2009-08-22,,36°18′48″N,36.3133333333
Charlotte Douglas Airport,USA,North Carolina,35°13′55″N80°56′07″W,305.9[13],404,0.15,2010-12-29,,35°13′55″N,35.2319444444
Columbia Museum of Art,USA,South Carolina,34°00′21″N81°02′11″W,43.2,"61.923 (2011)
59.257 (2012)",0.16,2010-11-15,was the largest commercial project in South Carolina[15],34°00′21″N,34.0058333333
Catbus,USA,South Carolina,34°42′09″N82°42′08″W,43.2,66.283 (2012),0.17,2011-08-26,,34°42′09″N,34.7025
Alpharetta,USA,Georgia,34°07′24″N84°13′46″W,79.2,"138.480 (2011)
133.664 (2012)",0.19,2010-12-30,,34°07′24″N,34.1233333333
Rinehart Solar Farm,USA,Florida,28°46′17″N81°21′13″W,1159,1589.733,0.16,2011-09-01,,28°46′17″N,28.7713888889
Parkland,USA,Florida,26°19′00″N80°14′00″W,5,7.58,0.17,2010-01-22,,26°19′00″N,26.3166666667
Naples,USA,Florida,26°07′00″N81°48′00″W,13.11,18.7,0.16,2010-04-16,,26°07′00″N,26.1166666667
Russellville,USA,Arkansas,35°18′00″N93°07′00″W,7,9.44,0.15,2010-10-13,,35°18′00″N,35.3
Hot Springs,USA,Arkansas,34°40′00″N93°00′00″W,7,9.28,0.15,2010-12-08,,34°40′00″N,34.6666666667
Baton Rouge,USA,Louisiana,30°31′00″N91°08′00″W,8,10.8,0.15,2010-11-13,,30°31′00″N,30.5166666667
Valley City,USA,North Dakota,47°09′00″N99°18′00″W,2.4,3.98,0.19,2010-07-10,,47°09′00″N,47.15
Woodworth,USA,North Dakota,47°09′00″N99°18′00″W,6,10.7,0.2,2010-07-29,tracking,47°09′00″N,47.15
Lincoln,USA,Nebraska,40°52′00″N96°40′00″W,3,4.25,0.16,2009-12,,40°52′00″N,40.8666666667
Tulsa,USA,Oklahoma,36°16′00″N95°53′00″W,1.2,2.13,0.2,2010-07-08,,36°16′00″N,36.2666666667
Choctaw,USA,Oklahoma,35°30′00″N97°16′00″W,6,8,0.15,2010-10-23,,35°30′00″N,35.5
Applied Materials Austin[permanent dead link],USA,Texas,30°20′02″N97°36′49″W,24.5,33.769,0.16,2007-08-15,,30°20′02″N,30.3338888889
Missoula 8kW,USA,Montana,48°52′00″N114°01′00″W,8,11.2,0.16,2009-11-05,,48°52′00″N,48.8666666667
Douglas,USA,Wyoming,42°46′00″N105°22′00″W,4,5.87,0.17,2010-06,,42°46′00″N,42.7666666667
Canon City High School,USA,Colorado,38°27′04″N105°14′03″W,197.97,312.77,0.18,2009-02-28,,38°27′04″N,38.4511111111
Spokane,USA,Washington,47°42′00″N117°22′00″W,4,4.96,0.14,2009-06-15,,47°42′00″N,47.7
Seattle,USA,Washington,47°39′00″N122°20′00″W,4.2,4.8,0.13,2009-08-21,,47°39′00″N,47.65
Portland Habilitation Center,USA,Oregon,45°33′45″N122°30′31″W,858.82,915,0.12,2008-09-04,roof mounted,45°33′45″N,45.5625
Church of the Good Samaritan,USA,Oregon,44°34′18″N123°17′21″W,9,12.3,0.16,2011-03,,44°34′18″N,44.5716666667
Maragas Winery,USA,Oregon,44°24′43″N121°11′47″W,14,19.5,0.16,2010-03-25,roof mounted,44°24′43″N,44.4119444444
The Bell Group,USA,New Mexico,35°05′00.0″N106°43′10″W,1108.8,2023.73,0.21,2010-07,,35°05′00.0,35.0833333333
With Gaia Design,USA,Utah,38°34′00″N109°34′00″W,5,8.25,0.19,2011-02-26,,38°34′00″N,38.5666666667
Springerville,USA,Arizona,34°17′48″N109°16′03″W,6480,9748,0.17,2001,"built in stages, 1.8 MW added end of 2010",34°17′48″N,34.2966666667
Sparks,USA,Nevada,39°32′24″N119°43′11″W,18,27.3,0.17,2010-12-24,,39°32′24″N,39.54
Nellis AFB,USA,Nevada,36°15′30″N115°03′13″W,14200,32000,0.26,2007-11,,36°15′30″N,36.2583333333
Valley Springs,USA,California,38°13′00″N120°49′00″W,4.2,6.56,0.18,2008-05-16,,38°13′00″N,38.2166666667
Valley Springs,USA,California,38°13′00″N120°49′00″W,14.4,19.9,0.16,2008,,38°13′00″N,38.2166666667
Oakdale,USA,California,37°47′00″N120°51′00″W,14,19.59,0.16,2008-06-04,Not working after September 2011,37°47′00″N,37.7833333333
AT&T Park,USA,California,37°46′40″N122°23′27″W,122.72,171.702,0.16,2007-07-09,,37°46′40″N,37.7777777778
Silicon Valley Microelectronics,USA,California,37°22′29″N121°58′53″W,59,95.907,0.19,2009-05-02,,37°22′29″N,37.3747222222
Applied Materials Sunnyvale rooftop,USA,California,37°22′43″N122°00′18″W,977,947,0.11,2007-10-25,Fixed angle,37°22′43″N,37.3786111111
Applied Materials Sunnyvale parking lot,USA,California,37°22′42″N122°00′13″W,1020,1853,0.21,2008-08-06,Tracking,37°22′42″N,37.3783333333
Clovis,USA,California,36°53′00″N119°41′00″W,8.8,11.9,0.15,2008-04-29,Not working October 2011,36°53′00″N,36.8833333333
Jacobsen Trailer,USA,California,36°37′11″N119°40′32″W,35,54.6,0.18,2008-04-07,,36°37′11″N,36.6197222222
Barker Blue Digital Imaging,USA,California,37°34′43″N122°19′23″W,170,312.675,0.21,2009-01-17,,37°34′43″N,37.5786111111
Selma,USA,California,36°33′00″N119°34′00″W,9.6,14.57,0.17,2008-07-07,,36°33′00″N,36.55
Exeter,USA,California,36°20′02″N119°02′02″W,8.4,11.81,0.16,2008-08,,36°20′02″N,36.3338888889
