Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Afghanistan,AFG,..,..,32.5,39.8778495789,32.4,54.9887008667,63.8,70.1293792725,87.8,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Albania,ALB,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Algeria,DZA,92.2383728027,95.3578720093,97.9106348685,97.7793426514,98.1334915161,98.4988327026,98.8716278076,99.2481536865,99.6253051758,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Andorra,AND,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Angola,AGO,20.0909194946,13.3347606659,7.5164585114,6.8681335449,6.2347226143,5.5,4.9977283478,4.3866887093,3,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Antigua and Barbuda,ATG,100,100,99.8996047974,99.9211044312,99.9527282715,99.9798583984,99.9946365356,99.9993362427,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Armenia,ARM,96.8095016479,98.6,99.7393035889,99.8787536621,99.8,99.9926986694,99.9994354248,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Aruba,ABW,99.836769104,99.9942550659,99.8564758301,99.8980178833,99.9432754517,99.9772796631,99.9942779541,99.9993286133,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Austria,AUT,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Azerbaijan,AZE,90.2426147461,95.9576721191,99.7712249756,99.9405517578,99.9927520752,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Bahamas, The",BHS,99.836769104,99.9942550659,99.8564758301,99.8980178833,99.9432754517,99.9772796631,99.9942779541,99.9993286133,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Bahrain,BHR,..,..,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Bangladesh,BGD,..,20.5,39.5954475403,41.8751907349,42.49,49.3,48.7889900208,54.2,51.4,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Barbados,BRB,..,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Belarus,BLR,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Belgium,BEL,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Belize,BLZ,71.4884414673,77.4264373779,81.7634658813,82.384552002,83.0399206546,83.6677474976,84.3223953247,84.9807739258,85.6397705078,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Benin,BEN,..,4.865468502,10.8721218109,11.7019166946,13.9,12.4,14.5,15.1329498291,16.0006504059,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Bhutan,BTN,..,21.4302177429,63.6737976074,69.0332107544,74.4075317383,79.7930450439,87.3,90.5827026367,95.9800186157,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Bolivia,BOL,0.5504630804,24.932479,56.135089,63.500866,58.8836479187,66.622957,72.458314,69.338595,71.474067,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Bosnia and Herzegovina,BIH,91.3944854736,96.7590408325,99.9451217651,99.993270874,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Botswana,BWA,..,14.9036560059,42.9,29.1232509613,30.7883090973,23.87,34.1482543945,35.8356819153,37.5237312317,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Brazil,BRA,55.415374,74.3224334717,91.398435,93.332725,93.6381225586,95.784948,97.022847,97.294009,97.839087,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Bulgaria,BGR,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Burkina Faso,BFA,..,0.8288480639,1.5253591537,1.6913861036,1.4,2.064453125,2.2640361786,2.4673480988,3,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Burundi,BDI,..,0.8108591437,1.2,1.164439559,1,1.4244049788,1.2,1.7141983509,2,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cabo Verde,CPV,..,24.8722934723,55.5643119812,59.4797782898,65.8,67.3517227173,71.300743103,75.2534942627,79.2068634033,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cambodia,KHM,..,9,13.1,25.1089954376,18.8,29.0061798096,30.9678211212,32.9331932068,49.2,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cameroon,CMR,13.3067674637,21,19.6146335602,20.0153274536,20.430934906,18.5,21.2919769287,21.7299556732,22.1685562134,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Canada,CAN,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Central African Republic,CAF,..,0.7,1.7599152327,1.9579230547,1.7,2.3949522972,2.6265163422,2.8618092537,3.0977237225,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Chad,TCD,..,0.350636363,2.3744297028,2.7082567215,3.1,3.4169237614,3.784307003,4.1554188728,4.5271520615,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Channel Islands,CHI,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Chile,CHL,62.892651,86.572004,95.3522338867,97.80333,98.2997360229,97.781241,99.8168182373,98,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,China,CHN,86.5070037842,92.380859375,96.6665725708,97.28125,98,98.549331665,99.1397247314,99.6241149902,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Colombia,COL,71,83.8,87.470664,84.540784,86.84958,86.35929,87.858058,90.52792,90.499782,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Comoros,COM,3.437713623,29.1275596619,49.2660598755,51.8623352051,54.473526001,57.0959014893,61.4,62.3592910767,64.9934768677,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Congo, Dem. Rep.",COD,1.0971012115,1,0.7107713223,0.7395648956,0.7832723856,0.8381653428,1,0.966593802,0.4,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Congo, Rep.",COG,18.8617782593,15.3765678406,12.1750249863,9.4,11.5474786758,11.2523479462,11.7,10.680729866,10.3974056244,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Costa Rica,CRI,94.8550491333,96.6917495728,98.282766,98.641978,97.734454,97.986184,98.690151,98.921142,98.414246,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cote d'Ivoire,CIV,13.5728197098,23.1861495972,30.4634399414,31.4520626068,32.4556007385,33.47032547,29,35.5184135437,36.5449447632,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Croatia,HRV,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cuba,CUB,80.6899490356,87.9,93.3431930542,94.0964050293,94.8645324707,95.6438522339,96.4306182861,97.2211227417,98.0122375488,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Curacao,CUW,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Cyprus,CYP,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Czech Republic,CZE,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Denmark,DNK,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Djibouti,DJI,10.605764389,10.5710697174,10.1299381256,10.1537590027,10.1924953461,10.2424154282,10.2997932434,10.3608999252,10.4226284027,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Dominican Republic,DOM,53.151725769,73.788668,93.312888,93.900472,94.675536,94.013044,94.211009,95.226213,95.641568,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ecuador,ECU,72.8134384155,82.7110671997,92.140953,91.159456,92.659412,91.161191,92.33289,94.733695,97.054058,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Egypt, Arab Rep.",EGY,89.1319122314,95.9,99.3,99.2161407471,99.6320800781,99.8782043457,99.9755630493,99.9978408813,99.8,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,El Salvador,SLV,42.7650032043,65.170985,79.393669,80.329462,81.498281,83.820242,85.670994,89.999795,90.262428,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Equatorial Guinea,GNQ,29.5587520599,35.9663581848,40.679069519,41.3471221924,42.0300865173,43,43.4258460999,44.1311836243,44.8371429443,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Eritrea,ERI,0.088383697,3.0833017826,5.0658607483,5.3926434517,5.7343401909,6.0872225761,6.4475617409,6.8116292953,7.1763186455,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Estonia,EST,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ethiopia,ETH,..,0.4,5.017929554,5.8047609329,6.6065063477,4.8,8.2398252487,9.0639410019,12.2,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Faroe Islands,FRO,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Fiji,FJI,60.8267250061,67.3202133179,72.1016235352,72.7782592773,73.4698104858,74.1725540161,74.8827514648,75.5966720581,76.3112182617,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Finland,FIN,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,France,FRA,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,French Polynesia,PYF,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Gabon,GAB,21.635509491,29.7,36.8055915833,37.6986312866,38.6065826416,39.5257225037,44.9,37.4,42.3135871887,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Gambia, The",GMB,21.3939228058,18.19,14.7299985886,14.4100370407,14.1049890518,13.811126709,13.5247211456,12.9,12.9599895477,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Georgia,GEO,99.0731582642,99.5760726929,99.5978012085,99.6735458374,99.7628936768,99.8546905518,100,99.9771652222,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Germany,DEU,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ghana,GHA,..,21.5812072754,38.2,41.7207756042,44.0436096191,40.9546,48.7191047668,48.6,63,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Gibraltar,GIB,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Greece,GRC,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Greenland,GRL,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guam,GUM,..,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guatemala,GTM,39.940700531,56.376971,69.5662307739,71.2623519897,72.9733810425,72.113698,76.42527771,78.1586837769,74.816634,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guinea,GIN,0.1803911775,1.7986904383,2.6799542904,2.8690752983,3.0731101036,3.288330555,2.9,3.7374136448,3.9644412994,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guinea-Bissau,GNB,..,1.6444284916,2.8654356003,3.0970244408,3.5,3.601215601,3.8663606644,4.1352343559,4,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guyana,GUY,58.7651672363,68.4783630371,75.8355407715,72.3,77.8476791382,78.8723831177,79.9045562744,80.9404449463,84,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Haiti,HTI,0.3785511851,5.2,12.6519546509,13.3840665817,14.1310930252,14.8893041611,15.2,16.424369812,17.1943893433,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Honduras,HND,25.8816890717,43.3538627625,55.266458,59.190562,63.869036,65.757091,69.21689,75.782689,76.318906,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Hong Kong SAR, China",HKG,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Hungary,HUN,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Iceland,ISL,100,100,100,100,100,100,100,100,100,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,India,IND,31.9292812347,47.8457679749,60.1655807495,66,65.7,55.8,72.7,68.3721313477,70.0289764404,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Indonesia,IDN,43.5170288086,66.7827529907,84.9819641113,88.5,89.39,90.4,92.9,93.275577919,94.29,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Iran, Islamic Rep.",IRN,94.1063613892,94.6,94.374206543,94.4393386841,94.5193939209,94.6106262207,94.7093200684,94.8117446899,94.9147872925,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Iraq,IRQ,81.9831390381,87.8984375,92.217300415,92.8361206055,93.4698486328,94.0875631892,94.7671508789,95.4232559204,96.0799789429,..,..,..
